TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-09-02,25.0,31.4,28.2,82.0,4.0,3.1,5,20,1,C ,Hujan,1
2020-09-03,24.4,31.2,28.2,81.0,2.5,2.9,2,99,1,E ,Hujan,1
2020-09-04,24.8,30.6,28.3,81.0,66.0,2.2,3,110,1,N ,Hujan,1
2020-09-05,25.6,33.0,29.0,79.0,34.0,2.0,3,300,2,NW,Hujan,1
2020-09-06,24.8,30.2,27.8,81.0,2.0,3.4,3,10,2,NE,Hujan,1
2020-09-07,25.0,29.5,27.8,83.0,3.9,1.4,3,290,2,NE,Hujan,1
2020-09-08,24.5,32.8,28.7,79.0,8.9,1.5,4,300,1,NW,Hujan,1
2020-09-09,24.0,30.6,27.5,84.0,18.3,3.3,2,290,1,C ,Hujan,1
2020-09-10,24.6,32.3,29.3,76.0,5.1,2.9,4,40,2,NW,Hujan,1
2020-09-11,24.2,31.2,27.7,82.0,6.4,5.1,3,320,1,W ,Hujan,1
2020-09-12,24.4,31.4,28.8,76.0,4.8,1.4,3,170,1,NW,Hujan,1
2020-09-13,24.0,29.2,27.4,83.0,2.9,2.0,3,360,2,E ,Hujan,1
2020-09-14,24.0,32.3,29.3,73.0,1.0,0.0,4,330,2,NW,Hujan,1
2020-09-15,24.8,31.3,28.3,77.0,0.9,6.0,4,290,2,NW,Hujan,1
2020-09-16,24.2,34.4,30.8,64.0,0.0,0.2,3,10,2,E ,Cerah,0
2020-09-17,25.2,33.4,30.1,71.0,0.0,7.5,4,150,2,E ,Cerah,0
2020-09-18,24.6,33.8,30.0,73.0,3.45,3.0,4,280,2,W ,Hujan,1
2020-09-19,24.8,31.2,28.3,79.0,6.9,4.8,5,270,2,W ,Hujan,1
2020-09-20,24.8,32.3,29.4,76.0,0.9,2.6,4,190,2,S ,Hujan,1
2020-09-21,24.4,34.0,30.4,71.0,0.5,3.3,4,80,2,N ,Hujan,1
2020-09-22,24.6,33.6,30.6,69.0,0.0,6.9,4,350,2,N ,Cerah,0
2020-09-23,24.8,30.4,27.3,81.0,19.3,6.4,4,320,1,C ,Hujan,1
2020-09-24,24.0,33.2,29.8,73.0,12.0,2.8,3,330,2,N ,Hujan,1
2020-09-25,23.9,32.9,27.7,83.0,49.05,5.2,3,330,1,C ,Hujan,1
2020-09-26,23.8,33.8,30.3,71.0,86.1,2.6,3,60,2,N ,Hujan,1
2020-09-27,25.2,32.0,28.1,82.0,1.3,6.5,3,30,1,C ,Hujan,1
2020-09-28,24.0,31.2,28.4,78.0,21.6,0.9,3,290,2,NW,Hujan,1
2020-09-29,25.2,31.2,28.9,77.0,3.0,2.0,3,360,1,C ,Hujan,1
2020-09-30,25.0,32.8,28.6,79.0,0.6,1.7,5,140,2,C ,Hujan,1
2020-10-01,24.8,33.4,27.8,80.0,2.1,3.7,4,10,2,N ,Hujan,1
2020-10-02,24.4,34.0,29.1,78.0,2.3333333333333335,5.8,3,360,2,N ,Hujan,1
2020-10-03,26.0,32.8,28.3,81.0,2.5666666666666664,5.1,3,320,1,C ,Hujan,1
2020-10-04,25.2,33.2,28.4,80.0,2.8,2.6,4,330,2,N ,Hujan,1
2020-10-05,24.4,30.4,27.8,82.0,3.3,4.4,3,290,2,NW,Hujan,1
2020-10-06,25.0,32.6,27.4,86.0,3.8,0.0,4,20,2,C ,Hujan,1
2020-10-07,24.7,31.2,27.4,88.0,4.3,1.6,2,290,1,C ,Hujan,1
2020-10-08,24.4,34.6,28.3,83.0,0.9,0.8,3,140,2,NW,Hujan,1
2020-10-09,25.3,30.0,26.7,90.0,20.5,5.3,3,310,1,NW,Hujan,1
2020-10-10,24.1,29.3,26.7,86.0,4.0,0.6,2,330,1,C ,Hujan,1
